magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27469394,-0.03452158,0.47307023,31676000,2_6
0.27404362,-0.03491885,0.47329587,31696000,2_6
0.27365682,-0.03412141,0.47255433,31716000,2_6
0.27466682,-0.03470176,0.47530532,31740000,2_6
0.2734931,-0.03528152,0.4732894,31761000,2_6
0.27584133,-0.03259428,0.47278547,31783000,2_6
0.27288374,-0.031589676,0.47380668,31803000,2_6
0.27426052,-0.03579118,0.4751229,31823000,2_6
0.27488908,-0.034763332,0.47585115,31844000,2_6
0.2742309,-0.034244474,0.47316822,31867000,2_6
0.27434668,-0.035099518,0.47311845,31888000,2_6
0.27408177,-0.033717684,0.47278938,31911000,2_6
0.27435952,-0.034922544,0.4736815,31931000,2_6
0.27582386,-0.034578655,0.47316182,31952000,2_6
0.27275163,-0.032848798,0.47347924,31976000,2_6
0.27364933,-0.03606151,0.47498807,31999000,2_6
0.27482125,-0.034270994,0.4733003,32019000,2_6
0.27480927,-0.03363741,0.47477,32039000,2_6
0.27257282,-0.034576714,0.4738627,32061000,2_6
0.2715066,-0.035061594,0.47648004,32083000,2_6
0.27542487,-0.032855205,0.47401768,32104000,2_6
0.27414963,-0.033448987,0.47332412,32127000,2_6
0.27310696,-0.035003927,0.4748178,32148000,2_6
0.27524334,-0.03326295,0.47299272,32171000,2_6
0.27391776,-0.035039365,0.4740584,32192000,2_6
0.27465218,-0.032554638,0.47565675,32212000,2_6
0.27493045,-0.033990745,0.47453138,32235000,2_6
0.27308884,-0.034653995,0.4737846,32257000,2_6
0.27234584,-0.033453744,0.4735929,32280000,2_6
0.27359506,-0.034833975,0.47406483,32300000,2_6
0.27311814,-0.0342346,0.47539896,32323000,2_6
0.27287146,-0.033819046,0.47271886,32348000,2_6
0.27281877,-0.03391113,0.47472894,32368000,2_6
0.27521417,-0.035262946,0.4751404,32391000,2_6
0.27290854,-0.035158176,0.4730006,32411000,2_6
0.27266333,-0.035963852,0.47518167,32432000,2_6
0.27406237,-0.03440364,0.47417784,32455000,2_6
0.2727283,-0.035192978,0.47403893,32475000,2_6
0.27321455,-0.03316572,0.47419554,32496000,2_6
0.27380472,-0.037424777,0.47426182,32516000,2_6
0.27465948,-0.032403436,0.47560778,32540000,2_6
0.27228275,-0.03452879,0.47422028,32563000,2_6
0.27241647,-0.033049714,0.47397885,32583000,2_6
0.27336717,-0.03587497,0.474789,32603000,2_6
0.27165937,-0.036444016,0.47444543,32624000,2_6
0.2746714,-0.03568406,0.47510073,32648000,2_6
0.27520287,-0.03692268,0.4736602,32668000,2_6
0.27595446,-0.035358682,0.4734212,32688000,2_6
0.2737594,-0.03477564,0.47510108,32713000,2_6
0.27348387,-0.035589315,0.47258744,32735000,2_6
0.27434427,-0.035432983,0.47394237,32757000,2_6
0.2743459,-0.035646714,0.47371632,32779000,2_6
0.27396965,-0.034357674,0.47227782,32800000,2_6
0.274997,-0.035562273,0.474214,32823000,2_6
0.27420622,-0.035718776,0.47421065,32843000,2_6
0.2727962,-0.03586839,0.47379166,32863000,2_6
0.27547023,-0.033480883,0.4729781,32883000,2_6
0.27319434,-0.034147423,0.47333354,32903000,2_6
0.27463847,-0.03699055,0.47186214,32923000,2_6
0.27358472,-0.036318243,0.47399172,32943000,2_6
0.27490917,-0.03623287,0.47339702,32963000,2_6
0.27423498,-0.03520214,0.4744358,32983000,2_6
0.27497903,-0.03508391,0.47255984,33004000,2_6
0.27254987,-0.03397665,0.47386798,33028000,2_6
0.27277312,-0.03520464,0.47340783,33049000,2_6
0.27432343,-0.034469478,0.47481987,33072000,2_6
0.27411717,-0.036016364,0.47157612,33095000,2_6
0.27609092,-0.034846447,0.47276372,33117000,2_6
0.27655265,-0.034497548,0.47318158,33138000,2_6
0.2748054,-0.035367522,0.47405615,33159000,2_6
0.2756435,-0.035101395,0.4737203,33179000,2_6
0.27335912,-0.03502928,0.4743045,33203000,2_6
0.2753456,-0.03281482,0.47504458,33228000,2_6
0.2754,-0.033833038,0.47421065,33248000,2_6
0.27574724,-0.035631772,0.47474626,33272000,2_6
0.27713463,-0.03416896,0.47273794,33293000,2_6
0.27630702,-0.034150764,0.47263983,33315000,2_6
0.27406603,-0.03381752,0.47218648,33339000,2_6
0.2759449,-0.033905577,0.47248498,33359000,2_6
0.27480194,-0.035715293,0.47187334,33379000,2_6
0.2758207,-0.033952124,0.47290036,33399000,2_6
0.27801415,-0.034607954,0.4733552,33420000,2_6
0.27647877,-0.035776082,0.47242743,33443000,2_6
0.27351704,-0.033810433,0.47262663,33463000,2_6
0.27581915,-0.03660296,0.47335306,33484000,2_6
0.27476478,-0.03417547,0.47282162,33508000,2_6
0.27518648,-0.0368038,0.4728105,33531000,2_6
0.27616286,-0.03586227,0.47359782,33551000,2_6
0.27528167,-0.03671172,0.471611,33571000,2_6
0.27613685,-0.03460056,0.4719221,33591000,2_6
0.2739603,-0.034965433,0.4704504,33613000,2_6
0.2750081,-0.03481133,0.47316548,33636000,2_6
0.27562508,-0.03557625,0.47393224,33656000,2_6
0.27540287,-0.03360617,0.47409916,33677000,2_6
0.27634117,-0.036363296,0.47414038,33699000,2_6
0.2749094,-0.035459142,0.47298095,33719000,2_6
0.2754722,-0.03509709,0.47231165,33743000,2_6
0.27598104,-0.03703311,0.47296056,33763000,2_6
0.27634913,-0.033699762,0.47490683,33783000,2_6
0.27688944,-0.036159657,0.4733754,33804000,2_6
0.27402446,-0.03783905,0.4731744,33828000,2_6
0.27537566,-0.03575498,0.47256994,33852000,2_6
0.27531356,-0.035136238,0.4737173,33875000,2_6
0.27346143,-0.03528346,0.47411653,33897000,2_6
0.27483505,-0.034456115,0.47428402,33920000,2_6
0.27551186,-0.03466465,0.47370014,33943000,2_6
0.2752532,-0.03312417,0.4716754,33963000,2_6
0.27438185,-0.03510064,0.47213462,33988000,2_6
0.275642,-0.03472154,0.47272667,34008000,2_6
0.27748418,-0.036826663,0.4733424,34028000,2_6
0.27532607,-0.03722273,0.47299227,34052000,2_6
0.27474758,-0.03537566,0.4728081,34076000,2_6
0.27426752,-0.034390252,0.47264454,34099000,2_6
0.27760088,-0.034526426,0.47507283,34123000,2_6
0.2768569,-0.035771284,0.47115746,34143000,2_6
0.27589437,-0.03622455,0.47364983,34163000,2_6
