timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10905000,10905000,0.99999946,9.403025e-05,-6.769877e-05,-0.0010849276,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
10956000,10956000,0.99999946,8.6892214e-05,-7.5277196e-05,-0.001067034,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11000000,11000000,0.99999946,9.009672e-05,-7.032151e-05,-0.0010664847,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11052000,11052000,0.99999946,0.000108044536,-7.560394e-05,-0.001070782,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11101000,11101000,0.99999946,0.000109639994,-7.545229e-05,-0.0010977464,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11152000,11152000,0.99999934,9.7599506e-05,-8.195844e-05,-0.0011207424,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11204000,11204000,0.99999934,8.3589424e-05,-6.256329e-05,-0.0011459116,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11248000,11248000,0.99999934,7.20476e-05,-6.2106534e-05,-0.0011344408,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11300000,11300000,0.99999946,7.889382e-05,-5.564029e-05,-0.0011154515,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11356000,11356000,0.99999946,6.89661e-05,-4.852093e-05,-0.0010980323,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11403000,11403000,0.99999946,5.5541434e-05,-6.1110826e-05,-0.0010743934,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11447000,11447000,0.99999946,5.5353426e-05,-5.8275018e-05,-0.0010538736,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11499000,11499000,0.99999946,4.4068398e-05,-6.404707e-05,-0.0010263638,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11547000,11547000,0.99999946,2.7071304e-05,-4.619942e-05,-0.0010305503,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11605000,11605000,0.9999996,2.0820627e-05,-4.482598e-05,-0.0010098971,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11648000,11648000,0.9999996,1.766341e-05,-3.5314246e-05,-0.0009901389,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11700000,11700000,0.9999996,-5.912685e-06,-1.7503413e-05,-0.00095535046,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11752000,11752000,0.9999996,1.8418258e-06,-1.3725635e-05,-0.0009378572,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11800000,11800000,0.9999996,4.201813e-06,-3.7283367e-05,-0.0009241594,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11847000,11847000,0.9999996,3.6457884e-06,-3.720622e-05,-0.0009102173,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11900000,11900000,0.9999996,7.5492358e-06,-6.999263e-05,-0.0008990294,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11951000,11951000,0.9999997,6.868846e-06,-9.234735e-05,-0.0008863841,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
11999000,11999000,0.9999997,8.329469e-06,-0.00011531836,-0.0008761558,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
12052000,12052000,0.9999997,1.2486224e-05,-0.00013617137,-0.00086591835,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
