timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
44004000,44004000,1311004,1311004,7.49922e-05,-5.881847e-06,1.0176669e-05,3.52251e-05,2.1414287e-06,-0.07856466,8000,8000,0,0
44501000,44501000,1311004,1311004,-1.3532451e-05,-8.4411995e-06,-2.5670752e-06,-9.406577e-05,-1.541192e-05,-0.049221724,5000,5000,0,0
45004000,45004000,1311004,1311004,-0.0016638871,-0.00015497176,0.0011368335,8.6118314e-05,0.00011954714,-0.039076604,5000,5000,0,0
45500000,45500000,1311004,1311004,0.0001824753,-9.572568e-06,-0.00071466394,-1.4778354e-05,-6.446944e-05,-0.042340923,4000,4000,0,0
46000000,46000000,1311004,1311004,-8.00232e-05,9.573613e-06,-4.8562943e-05,-5.498914e-05,6.678396e-05,-0.03842701,4000,4000,0,0
46504000,46504000,1311004,1311004,2.624244e-06,2.0176867e-06,1.3137861e-05,0.00037023192,-0.00012585126,-0.06801418,7000,7000,0,0
47004000,47004000,1311004,1311004,2.0512932e-06,-5.5008472e-06,5.570491e-06,0.00019857516,-2.554862e-05,-0.04901331,5000,5000,0,0
47499000,47499000,1311004,1311004,1.7861962e-06,-1.2125424e-05,4.811858e-07,0.00016594649,-5.9489703e-05,-0.029142242,3000,3000,0,0
48003000,48003000,1311004,1311004,-4.66981e-06,-7.608301e-06,1.226997e-07,0.00011869001,-0.00010039245,-0.039074972,4000,4000,0,0
48500000,48500000,1311004,1311004,-1.7752542e-06,-8.407045e-07,9.560067e-07,-6.2843555e-06,-6.4362184e-06,-0.049130984,5000,5000,0,0
49000000,49000000,1311004,1311004,-4.5400884e-06,1.5495232e-06,-6.366601e-07,4.006066e-05,1.4500157e-06,-0.039071664,4000,4000,0,0
49500000,49500000,1311004,1311004,-1.1756425e-06,6.0429525e-06,4.8613815e-06,3.5243167e-05,8.46803e-05,-0.039329622,4000,4000,0,0
50000000,50000000,1311004,1311004,-6.8753984e-06,-1.092709e-06,4.1725337e-07,-4.9939452e-05,0.00017566585,-0.039178792,4000,4000,0,0
50500000,50500000,1311004,1311004,-5.5808086e-06,-1.2680684e-06,7.3454737e-07,2.3644729e-05,-5.4812714e-05,-0.03913418,4000,4000,0,0
51000000,51000000,1311004,1311004,-6.8784595e-07,1.980968e-06,-1.1077367e-06,2.0847698e-05,-2.5513253e-05,-0.039076034,4000,4000,0,0
