timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
27000000,27000000,0.098039694,0.0980398,0.21005704,0.26489913,0.26489913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360727,0.0,0.0,nan,0.0,0.0,0.09038698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27500000,27500000,0.09735968,0.09735973,0.2101795,0.26468712,0.26468712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360932,0.0,0.0,nan,0.0,0.0,0.09037812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27999000,27999000,0.09699051,0.096990526,0.21036398,0.26473057,0.2647306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360162,0.0,0.0,nan,0.0,0.0,0.09036826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28500000,28500000,0.09670047,0.09670046,0.2104672,0.2646412,0.26464123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360231,0.0,0.0,nan,0.0,0.0,0.09035992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29000000,29000000,0.096468315,0.09646831,0.21054381,0.26456124,0.26456127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360371,0.0,0.0,nan,0.0,0.0,0.09035161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29504000,29504000,0.0963746,0.09637463,0.21065015,0.26459587,0.26459587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360338,0.0,0.0,nan,0.0,0.0,0.09034333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000,30000000,0.09623581,0.09623587,0.21063986,0.2643872,0.2643872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361189,0.0,0.0,nan,0.0,0.0,0.0903363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30496000,30496000,0.096237674,0.09623776,0.21071203,0.26444346,0.26444346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36056,0.0,0.0,nan,0.0,0.0,0.09032926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000000,31000000,0.096202984,0.096203044,0.21071415,0.2643928,0.2643928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360815,0.0,0.0,nan,0.0,0.0,0.0903237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31500000,31500000,0.09624353,0.09624346,0.21076371,0.2644616,0.2644616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.360823,0.0,0.0,nan,0.0,0.0,0.09031755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32000000,32000000,0.09620522,0.0962052,0.2107466,0.26441413,0.26441416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361068,0.0,0.0,nan,0.0,0.0,0.09031133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32500000,32500000,0.096217945,0.09621803,0.21075183,0.26438692,0.26438695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361049,0.0,0.0,nan,0.0,0.0,0.09030605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33000000,33000000,0.09618631,0.09618645,0.21076606,0.26446718,0.2644672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.361295,0.0,0.0,nan,0.0,0.0,0.09030161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
