timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
11687000,11683000,2.7730939e-11,6.640159e-06,0.015921885,0.00018989109,0.0011436339,0.002610556,535,0,0.18803707,0.4881824,0.0049501266,0.0039308383,0.023580976,0.0011684974,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11892000,11888000,2.7616e-11,6.80845e-06,0.01655772,8.5212654e-05,0.0011345946,0.0055981474,535,0,0.18471383,0.4741479,0.009654062,0.004135352,0.0189519,0.0015890088,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12089000,12084000,2.7818654e-11,6.6952225e-06,0.01520559,0.00033595748,0.0026201275,0.0061081983,535,0,0.18201885,0.46160838,0.0071325493,0.0024344956,0.018575113,0.0005486559,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12287000,12283000,2.6194408e-11,6.6226453e-06,0.015466752,0.00026030248,0.0019766113,0.0051113334,535,0,0.17908901,0.44982564,0.0037154811,0.0029696971,0.028098974,0.0007827693,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12488000,12484000,2.4491234e-11,6.3033795e-06,0.013266588,6.412405e-05,0.0003165297,0.0029774553,535,0,0.17921071,0.44075897,0.0031618846,0.0037510786,0.007925885,0.00070366886,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12692000,12685000,2.4563343e-11,5.9895983e-06,0.0119212745,9.308624e-05,0.0012058554,0.0013514117,535,0,0.17782894,0.43489957,0.003670469,0.0009927491,0.014476857,0.00046463497,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12892000,12888000,2.7660202e-11,6.5356103e-06,0.012723298,0.00022161279,0.0016462309,0.0032698591,535,0,0.17672007,0.42640993,0.0007114965,0.0032645024,0.03181247,6.5344255e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13091000,13085000,2.746896e-11,6.691254e-06,0.0129110385,0.0002548473,0.0016168212,0.004796062,535,0,0.17586017,0.41871756,0.004136772,0.0020062574,0.024456467,1.68812e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13287000,13283000,2.916379e-11,6.8392915e-06,0.012845984,0.00022819814,0.0027034502,0.0034801387,535,0,0.17519012,0.41172215,0.005288528,0.007803917,0.025678718,0.000814806,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13491000,13487000,2.5968717e-11,6.4009155e-06,0.011098558,6.6857974e-05,0.0020462153,0.0048367656,535,0,0.17464103,0.40535295,6.6990164e-05,0.0020206363,0.030013053,9.028711e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
