timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
36823000,36823000,0.00045822773,0.00078997517,2.2648012e-05,0.6088617,0.0,0.0,0.0,-1.0
36870000,36870000,0.000121070596,-0.0008848146,-2.9071919e-06,0.60842884,0.0,0.0,0.0,-1.0
36919000,36919000,-0.00053082395,0.00058915204,1.2542522e-05,0.60917306,0.0,0.0,0.0,-1.0
36972000,36972000,2.757975e-05,0.00047628395,3.636355e-05,0.6093916,0.0,0.0,0.0,-1.0
37020000,37020000,-0.000105931176,0.00037707048,-1.3556438e-05,0.6095351,0.0,0.0,0.0,-1.0
37071000,37071000,-0.00036852586,0.0004073303,-4.4821095e-06,0.60940063,0.0,0.0,0.0,-1.0
37122000,37122000,-0.0005051009,0.00017575691,-0.00012156356,0.60926884,0.0,0.0,0.0,-1.0
37172000,37172000,9.105849e-05,-0.0009980581,-0.00021582909,0.609417,0.0,0.0,0.0,-1.0
37220000,37220000,0.00046101172,-0.00046476873,0.00013084622,0.6092754,0.0,0.0,0.0,-1.0
37272000,37272000,6.5057364e-05,-0.00021672322,0.00013347602,0.6090318,0.0,0.0,0.0,-1.0
37321000,37321000,-0.0004985196,0.00090710865,4.304522e-05,0.60864305,0.0,0.0,0.0,-1.0
37371000,37371000,-0.00049004937,0.00078154163,9.556504e-05,0.6088503,0.0,0.0,0.0,-1.0
37420000,37420000,0.0007209163,-0.00029334245,0.00019912278,0.60912937,0.0,0.0,0.0,-1.0
37471000,37471000,0.00033813372,-0.00017280184,4.4574128e-05,0.6092084,0.0,0.0,0.0,-1.0
37519000,37519000,-0.0002601777,5.746985e-05,3.5952094e-06,0.60926265,0.0,0.0,0.0,-1.0
37570000,37570000,9.658274e-05,0.00020847727,8.223424e-05,0.6092448,0.0,0.0,0.0,-1.0
37619000,37619000,-0.0005316237,-2.136665e-06,1.01689975e-05,0.6091554,0.0,0.0,0.0,-1.0
37672000,37672000,0.00051644485,-0.00010005808,-2.6305723e-05,0.60905206,0.0,0.0,0.0,-1.0
37721000,37721000,0.00051783945,0.00051876385,-6.7431436e-05,0.6086899,0.0,0.0,0.0,-1.0
37772000,37772000,1.51327695e-05,-0.00029127637,-6.7523855e-05,0.60865474,0.0,0.0,0.0,-1.0
37819000,37819000,-0.00028923125,-0.00044601306,-4.644768e-05,0.60839856,0.0,0.0,0.0,-1.0
37872000,37872000,-0.0006647143,-0.000334256,-0.00010479052,0.608714,0.0,0.0,0.0,-1.0
37919000,37919000,-0.000108518085,0.00022869601,7.9553916e-05,0.6086648,0.0,0.0,0.0,-1.0
37972000,37972000,-0.00028452533,2.2337452e-05,-1.97782e-05,0.6086431,0.0,0.0,0.0,-1.0
38020000,38020000,-6.554554e-05,0.00033458002,7.888524e-05,0.6086249,0.0,0.0,0.0,-1.0
38070000,38070000,0.00017208069,0.0013858574,-5.1914853e-05,0.6086136,0.0,0.0,0.0,-1.0
38120000,38120000,2.902544e-05,-0.0009080085,6.330261e-05,0.6089475,0.0,0.0,0.0,-1.0
38172000,38172000,-0.0004115897,-0.0001984587,7.286636e-05,0.60854506,0.0,0.0,0.0,-1.0
38220000,38220000,-0.00060464913,0.00020717413,1.0783062e-05,0.60852563,0.0,0.0,0.0,-1.0
38271000,38271000,-0.00020372318,-0.0006651258,-4.3150118e-05,0.6086139,0.0,0.0,0.0,-1.0
38320000,38320000,-6.558522e-06,-0.00032969713,0.00010003077,0.6085486,0.0,0.0,0.0,-1.0
38376000,38376000,-0.0007498732,-0.00068644277,-2.741176e-05,0.6085388,0.0,0.0,0.0,-1.0
38424000,38424000,-0.0004347197,0.00017538058,1.2036745e-05,0.6082173,0.0,0.0,0.0,-1.0
38471000,38471000,-0.00053359504,0.0003982666,0.00010611038,0.6081949,0.0,0.0,0.0,-1.0
