timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
17316000,1310988,1310988,1310996,1311004,0,0.0015761429,0.00061906443,0.0009737709,0.0,1310988,1310988,1310996,1311004,0,0.00027715793,0.00013341161,0.00015007833,0.0,1,1,1,0,1,1,1,0
17515000,1310988,1310988,1310996,1311004,0,0.0032748035,0.001366688,0.0019315972,0.0,1310988,1310988,1310996,1311004,0,0.00033290984,0.00021659343,0.0001246763,0.0,1,1,1,0,1,1,1,0
17716000,1310988,1310988,1310996,1311004,0,0.00094485714,0.0010096726,0.0004391259,0.0,1310988,1310988,1310996,1311004,0,0.00030825514,0.00018765763,0.00013006318,0.0,1,1,1,0,1,1,1,0
17916000,1310988,1310988,1310996,1311004,0,0.001395925,0.0011436659,0.0004935933,0.0,1310988,1310988,1310996,1311004,0,0.00039606562,0.0001809472,0.00021698803,0.0,1,1,1,0,1,1,1,0
18116000,1310988,1310988,1310996,1311004,0,0.011138847,0.0057870606,0.005406533,0.0,1310988,1310988,1310996,1311004,0,0.00040441792,0.00023503818,0.00018213403,0.0,1,1,1,0,1,1,1,0
18312000,1310988,1310988,1310996,1311004,0,0.0077014267,0.0037603574,0.0039921566,0.0,1310988,1310988,1310996,1311004,0,0.00022208947,0.0001543003,6.848834e-05,0.0,1,1,1,0,1,1,1,0
18511000,1310988,1310988,1310996,1311004,0,0.00039478033,0.0024352868,0.0025649301,0.0,1310988,1310988,1310996,1311004,0,0.0003636932,0.00018892929,0.00018236428,0.0,1,1,1,0,1,1,1,0
18715000,1310988,1310988,1310996,1311004,0,0.0030834654,0.0014475129,0.0020252054,0.0,1310988,1310988,1310996,1311004,0,0.0004248223,0.00020318129,0.0002255418,0.0,1,1,1,0,1,1,1,0
18917000,1310988,1310988,1310996,1311004,0,0.0015799472,0.0020821248,0.0005088654,0.0,1310988,1310988,1310996,1311004,0,0.000281266,0.000113248694,0.00022163976,0.0,1,1,1,0,1,1,1,0
19111000,1310988,1310988,1310996,1311004,0,0.0012232368,0.0006682475,0.0013633013,0.0,1310988,1310988,1310996,1311004,0,0.0002557589,0.00013287536,0.00012464728,0.0,1,1,1,0,1,1,1,0
19312000,1310988,1310988,1310996,1311004,0,0.0014583193,0.0009252011,0.00190071,0.0,1310988,1310988,1310996,1311004,0,0.00040432834,0.0002473274,0.00017435811,0.0,1,1,1,0,1,1,1,0
19512000,1310988,1310988,1310996,1311004,0,0.00049905083,0.001227684,0.0011310217,0.0,1310988,1310988,1310996,1311004,0,0.00046087714,0.00018538884,0.000285696,0.0,1,1,1,0,1,1,1,0
19713000,1310988,1310988,1310996,1311004,0,0.0013421224,0.0011728784,0.0011831033,0.0,1310988,1310988,1310996,1311004,0,0.00034694475,0.00012553266,0.00023255765,0.0,1,1,1,0,1,1,1,0
19915000,1310988,1310988,1310996,1311004,0,0.00043171144,0.0017939876,0.0014242667,0.0,1310988,1310988,1310996,1311004,0,0.00035985067,0.00020099636,0.00021714105,0.0,1,1,1,0,1,1,1,0
20112000,1310988,1310988,1310996,1311004,0,0.0012689463,0.0011783993,0.0022184604,0.0,1310988,1310988,1310996,1311004,0,0.0004129,0.00016211416,0.00026154512,0.0,1,1,1,0,1,1,1,0
20312000,1310988,1310988,1310996,1311004,0,0.0030157182,0.00028306033,0.0029968466,0.0,1310988,1310988,1310996,1311004,0,0.0003897711,0.00016988721,0.00022160109,0.0,1,1,1,0,1,1,1,0
20516000,1310988,1310988,1310996,1311004,0,0.0018977787,0.0003968954,0.001521077,0.0,1310988,1310988,1310996,1311004,0,0.00030287754,0.00018910863,0.00011414929,0.0,1,1,1,0,1,1,1,0
20716000,1310988,1310988,1310996,1311004,0,0.002604018,0.003253712,0.0015114369,0.0,1310988,1310988,1310996,1311004,0,0.00040834662,0.00019643315,0.00021261886,0.0,1,1,1,0,1,1,1,0
20916000,1310988,1310988,1310996,1311004,0,0.0022096937,0.00080378255,0.0017411022,0.0,1310988,1310988,1310996,1311004,0,0.0003071332,0.0001764397,0.00013420734,0.0,1,1,1,0,1,1,1,0
21113000,1310988,1310988,1310996,1311004,0,0.00060097576,0.0016144554,0.0017875519,0.0,1310988,1310988,1310996,1311004,0,0.00032562943,0.0001718965,0.00017150736,0.0,1,1,1,0,1,1,1,0
21316000,1310988,1310988,1310996,1311004,0,0.0037275518,0.0009054399,0.0028586912,0.0,1310988,1310988,1310996,1311004,0,0.00047058047,0.00023507676,0.00024397652,0.0,1,1,1,0,1,1,1,0
21512000,1310988,1310988,1310996,1311004,0,0.0016654516,0.00043238958,0.0014114612,0.0,1310988,1310988,1310996,1311004,0,0.00038294654,0.00021763718,0.0001700236,0.0,1,1,1,0,1,1,1,0
21715000,1310988,1310988,1310996,1311004,0,0.0014315413,0.002153593,0.0016403014,0.0,1310988,1310988,1310996,1311004,0,0.00046078447,0.00024861994,0.00021960353,0.0,1,1,1,0,1,1,1,0
21916000,1310988,1310988,1310996,1311004,0,0.00039885708,0.0011130499,0.0013021651,0.0,1310988,1310988,1310996,1311004,0,0.0003856929,0.00021684641,0.00017241931,0.0,1,1,1,0,1,1,1,0
22108000,1310988,1310988,1310996,1311004,0,0.0015202644,0.0029194178,0.0014655137,0.0,1310988,1310988,1310996,1311004,0,0.00029777817,0.00016955506,0.00015309117,0.0,1,1,1,0,1,1,1,0
22313000,1310988,1310988,1310996,1311004,0,0.0016146363,0.0018981162,0.0034053132,0.0,1310988,1310988,1310996,1311004,0,0.0005220039,0.00022022263,0.00031179778,0.0,1,1,1,0,1,1,1,0
22511000,1310988,1310988,1310996,1311004,0,0.0011495742,0.0020692653,0.0010266955,0.0,1310988,1310988,1310996,1311004,0,0.00018604704,0.00011713389,0.0001003382,0.0,1,1,1,0,1,1,1,0
22713000,1310988,1310988,1310996,1311004,0,0.0027835586,0.001675323,0.0014175161,0.0,1310988,1310988,1310996,1311004,0,0.00015420122,6.9341986e-05,9.6189244e-05,0.0,1,1,1,0,1,1,1,0
22912000,1310988,1310988,1310996,1311004,0,0.0016423495,0.001061287,0.0007680378,0.0,1310988,1310988,1310996,1311004,0,0.00045951578,0.00024779793,0.00021208734,0.0,1,1,1,0,1,1,1,0
23116000,1310988,1310988,1310996,1311004,0,0.0019500908,0.0012018868,0.0012962905,0.0,1310988,1310988,1310996,1311004,0,0.00035345572,0.00015660182,0.00022415738,0.0,1,1,1,0,1,1,1,0
23316000,1310988,1310988,1310996,1311004,0,0.00055910426,0.0006986665,0.00055927754,0.0,1310988,1310988,1310996,1311004,0,0.0003610607,0.00017166168,0.00019946981,0.0,1,1,1,0,1,1,1,0
