timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
36267000,-0.20150356,-0.20201041,14.670227,1.0
36271000,-0.25641856,-0.25706398,14.67123,1.0
36275000,0.2013595,0.2018662,14.670846,1.0
36280000,0.28261214,0.28332356,14.671331,1.0
36288000,0.30034536,0.30110094,14.670443,1.0
36292000,0.17633541,0.17677923,14.671135,1.0
36295000,0.28710827,0.28783083,14.671196,1.0
36301000,0.17760375,0.17805044,14.670361,1.0
36308000,0.2525045,0.25313944,14.670083,1.0
36315000,0.22562052,0.22618827,14.6711445,1.0
36318000,0.26466137,0.26532704,14.670408,1.0
36324000,0.3113396,0.3121232,14.671478,1.0
36332000,-0.07002248,-0.0701987,14.671247,1.0
36336000,-0.30395252,-0.3047171,14.670569,1.0
36340000,-0.18028198,-0.18073532,14.670118,1.0
36343000,0.2763711,0.27706653,14.671045,1.0
36352000,-0.24926166,-0.24988925,14.670826,1.0
36358000,-0.19856548,-0.19906566,14.671412,1.0
36363000,-0.13681704,-0.13716164,14.671395,1.0
36372000,-0.24239391,-0.24300422,14.67085,1.0
36376000,0.29008737,0.29081762,14.670573,1.0
36383000,0.118189745,0.11848728,14.670598,1.0
36388000,0.1841999,0.18466358,14.670429,1.0
36392000,-0.17777136,-0.17821896,14.670825,1.0
36399000,0.2560715,0.25671616,14.670679,1.0
36407000,0.15207139,0.1524544,14.6713915,1.0
36415000,-0.11025462,-0.11053217,14.670585,1.0
36420000,-0.12466881,-0.1249827,14.670894,1.0
36428000,0.24186179,0.24247101,14.6714525,1.0
36437000,0.12609261,0.12640995,14.670237,1.0
36443000,-0.06648142,-0.06664889,14.67159,1.0
36448000,-0.14863738,-0.14901142,14.670056,1.0
36451000,-0.21533589,-0.21587811,14.671527,1.0
36455000,0.16981606,0.17024362,14.671351,1.0
36461000,-0.16502464,-0.16544016,14.671456,1.0
36468000,0.27450916,0.27519998,14.670663,1.0
36471000,0.16319805,0.16360869,14.670427,1.0
36475000,0.17387412,0.17431183,14.671148,1.0
36479000,0.026351072,0.026417375,14.670447,1.0
36487000,-0.23295689,-0.23354349,14.671498,1.0
36491000,0.060679525,0.060832202,14.670398,1.0
36496000,-0.14238289,-0.14274144,14.671607,1.0
36499000,0.2007902,0.20129582,14.671591,1.0
36508000,-0.19050767,-0.19098705,14.671321,1.0
36512000,0.17669058,0.177135,14.670704,1.0
36515000,-0.26849535,-0.26917082,14.671,1.0
36520000,0.22135895,0.22191574,14.670734,1.0
36524000,0.10081943,0.101073,14.67056,1.0
36528000,0.2503082,0.25093758,14.670221,1.0
36532000,-0.19956033,-0.20006207,14.670113,1.0
36539000,0.2515403,0.25217307,14.670841,1.0
36543000,0.060406964,0.0605589,14.670652,1.0
36548000,0.23254439,0.23312917,14.670358,1.0
36560000,-0.25313103,-0.25376806,14.671439,1.0
36567000,0.13904569,0.13939573,14.670804,1.0
36572000,0.25938895,0.26004213,14.671238,1.0
36583000,-0.24798962,-0.24861407,14.671189,1.0
36591000,-0.22485492,-0.22542076,14.67033,1.0
36599000,-0.21641003,-0.2169546,14.670212,1.0
36603000,0.135937,0.13627923,14.670828,1.0
36608000,-0.19262944,-0.19311428,14.670528,1.0
36612000,-0.21105716,-0.21158871,14.670984,1.0
36616000,-0.12209014,-0.12239771,14.671411,1.0
36620000,0.31109095,0.3118743,14.670683,1.0
36623000,-0.2947993,-0.29554173,14.670879,1.0
36631000,-0.15134585,-0.15172705,14.671154,1.0
36640000,-0.12605572,-0.12637313,14.670728,1.0
36643000,0.1332684,0.13360414,14.671411,1.0
36648000,-0.20433691,-0.2048513,14.67032,1.0
36653000,-0.27624607,-0.27694178,14.670853,1.0
