timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
36944000,0.000880764,-0.00094508496,0.0,0.0,0.99999976,0.0004403819,-0.00047254242,2.0809917e-07,0.0,0.0,-0.60916513,0,0,0,0,0
36991000,0.0008351375,-0.0010443587,0.0,0.0,0.99999976,0.00041756866,-0.0005221793,2.1804576e-07,0.0,0.0,-0.60898185,0,0,0,0,0
37039000,0.0008052398,-0.00081418164,0.0,0.0,0.9999998,0.0004026198,-0.00040709073,1.6390283e-07,0.0,0.0,-0.60932106,0,0,0,0,0
37087000,0.0007610541,-0.0007026237,0.0,0.0,0.9999998,0.00038052702,-0.00035131184,1.3368366e-07,0.0,0.0,-0.6093701,0,0,0,0,0
37139000,0.0010086297,-0.0011169799,0.0,0.0,0.9999997,0.0005043147,-0.0005584898,2.8165476e-07,0.0,0.0,-0.6089874,0,0,0,0,0
37188000,0.0014144159,-0.0009897781,0.0,0.0,0.99999964,0.00070720783,-0.0004948889,3.4998945e-07,0.0,0.0,-0.60882866,0,0,0,0,0
37238000,0.0015487064,-0.0008372284,0.0,0.0,0.9999996,0.00077435316,-0.0004186141,3.2415522e-07,0.0,0.0,-0.60871893,0,0,0,0,0
37291000,0.0012799182,-0.0012088228,0.0,0.0,0.99999964,0.00063995895,-0.00060441124,3.8679852e-07,0.0,0.0,-0.60906583,0,0,0,0,0
37343000,0.0015694314,-0.0012127634,0.0,0.0,0.9999995,0.0007847154,-0.0006063814,4.7583706e-07,0.0,0.0,-0.60902345,0,0,0,0,0
37391000,0.0017372195,-0.0012771982,0.0,0.0,0.9999994,0.00086860947,-0.00063859887,5.546933e-07,0.0,0.0,-0.609225,0,0,0,0,0
37439000,0.0018054642,-0.0014090822,0.0,0.0,0.99999934,0.0009027317,-0.0007045408,6.3601175e-07,0.0,0.0,-0.6094883,0,0,0,0,0
37493000,0.001865198,-0.0014573535,0.0,0.0,0.9999993,0.00093259854,-0.0007286764,6.795631e-07,0.0,0.0,-0.6095696,0,0,0,0,0
37540000,0.0017349129,-0.0009612414,0.0,0.0,0.9999995,0.00086745626,-0.0004806205,4.169175e-07,0.0,0.0,-0.6096682,0,0,0,0,0
37592000,0.0017230269,-0.0009823884,0.0,0.0,0.9999995,0.0008615132,-0.00049119396,4.2317032e-07,0.0,0.0,-0.60938185,0,0,0,0,0
37639000,0.0019927297,-0.00056618464,0.0,0.0,0.99999946,0.0009963646,-0.00028309217,2.8206318e-07,0.0,0.0,-0.6090469,0,0,0,0,0
37691000,0.0019798526,-0.0009837515,0.0,0.0,0.9999994,0.0009899259,-0.0004918755,4.869206e-07,0.0,0.0,-0.6094123,0,0,0,0,0
37737000,0.0020411778,-0.00091672625,0.0,0.0,0.9999994,0.0010205887,-0.00045836286,4.6780028e-07,0.0,0.0,-0.60949916,0,0,0,0,0
37794000,0.0018257112,6.811533e-05,0.0,0.0,0.9999996,0.00091285555,3.405765e-05,-3.108973e-08,0.0,0.0,-0.6089241,0,0,0,0,0
37843000,0.0022292556,0.00052500644,0.0,0.0,0.99999934,0.0011146275,0.00026250305,-2.925933e-07,0.0,0.0,-0.60915005,0,0,0,0,0
37888000,0.0024249388,0.0007463107,0.0,0.0,0.9999992,0.001212469,0.00037315508,-4.5243925e-07,0.0,0.0,-0.6089992,0,0,0,0,0
37939000,0.0003087395,-0.00015456139,-0.12575907,0.0,0.99802375,0.0001492085,-8.6828266e-05,-0.06283809,0.0,0.0,-0.60904056,0,0,0,0,0
37992000,-0.00043261112,0.0016712515,-0.09277234,0.7853982,0.998924,-0.00017732524,0.0008447567,-0.04636934,0.0,0.0,-0.5982008,0,0,0,0,0
38039000,-0.00046126283,0.0019290269,-0.047219247,0.7853982,0.9997208,-0.00020779735,0.00096968916,-0.023607198,0.0,0.0,-0.581155,0,0,0,0,0
38099000,-0.001706159,0.002455551,-0.00014468748,0.7828018,0.9999989,-0.0008529899,0.0012278362,-7.129627e-05,0.0,0.0,-0.5636436,0,0,0,0,0
38143000,-0.0039054616,0.0024669617,-0.00014468773,0.0,0.9999973,-0.001952639,0.0012336195,-6.993502e-05,0.0,0.0,-0.5531078,0,0,0,0,0
38192000,-0.006337933,0.002538051,-0.00014468773,0.0,0.99999416,-0.003168867,0.0012692481,-6.8321955e-05,0.0,0.0,-0.5529313,0,0,0,0,0
38240000,-0.0065367296,0.002573735,-0.00014468773,0.0,0.9999938,-0.003268263,0.0012870968,-6.813747e-05,0.0,0.0,-0.54740566,0,0,0,0,0
38292000,-0.0045234025,0.0027913335,-0.00014468774,0.0,0.9999965,-0.0022615965,0.0013958263,-6.918704e-05,0.0,0.0,-0.5519317,0,0,0,0,0
38343000,-0.0014110465,0.0034921165,-0.00014468773,0.0,0.9999982,-0.0007053958,0.0017461079,-7.1111856e-05,0.0,0.0,-0.5440032,0,0,0,0,0
38388000,0.0013606825,0.0038052928,-0.00014468773,0.0,0.999998,0.0006804776,0.0019025954,-7.363817e-05,0.0,0.0,-0.5584782,0,0,0,0,0
38453000,0.0041225394,0.0042206617,-0.00014468773,0.0,0.99999565,0.0020614164,0.0021101758,-7.669351e-05,0.0,0.0,-0.5903238,0,0,0,0,0
38493000,0.0050946805,0.0041757314,-0.00014468773,0.0,0.9999946,0.002547483,0.002087673,-7.766198e-05,0.0,0.0,-0.60692394,0,0,0,0,0
38545000,0.0049266694,0.0064167376,-0.00014468773,0.0,0.99999183,0.002463552,0.003208175,-8.0246544e-05,0.0,0.0,-0.6157964,0,0,0,0,0
38591000,0.004594603,0.0063280785,-0.00014468773,0.0,0.9999924,0.0022975167,0.0031638592,-7.961204e-05,0.0,0.0,-0.62665147,0,0,0,0,0
38639000,0.0044762213,0.0061659478,-0.00014468773,0.0,0.9999927,0.0022383211,0.0030827993,-7.924336e-05,0.0,0.0,-0.6311715,0,0,0,0,0
38692000,0.0050754473,0.0010868348,-0.00014468773,0.0,0.9999966,0.00253776,0.0005432321,-7.372267e-05,0.0,0.0,-0.6324811,0,0,0,0,0
38739000,0.0044620186,0.00048661858,-0.00014468774,0.0,0.9999975,0.002231025,0.00024314727,-7.288652e-05,0.0,0.0,-0.6319141,0,0,0,0,0
38788000,0.0037537087,0.00030918128,-0.00014468773,0.0,0.9999983,0.0018768646,0.0001544546,-7.263389e-05,0.0,0.0,-0.6315443,0,0,0,0,0
38839000,0.0026808192,-0.00029151578,-0.00014468773,0.0,0.9999991,0.0013403987,-0.00014585473,-7.2148425e-05,0.0,0.0,-0.6329815,0,0,0,0,0
38899000,0.001504905,-0.00091362116,-0.00014468774,0.0,0.99999964,0.0007524193,-0.00045686483,-7.200012e-05,0.0,0.0,-0.6256991,0,0,0,0,0
38948000,0.0009301082,-0.0011831636,-0.00014468773,0.0,0.9999997,0.00046501122,-0.0005916154,-7.206874e-05,0.0,0.0,-0.6047024,0,0,0,0,0
38992000,-0.00016836081,-0.0006696953,-0.00014468773,0.0,0.99999994,-8.420462e-05,-0.00033484155,-7.237205e-05,0.0,0.0,-0.5912142,0,0,0,0,0
